serve?,signal,name,locality,city,kind,pincode,source,licence,fact:Towers or blocks,fact:Approximate homes,fact:Builder,fact:Possession year,fact:Typical flat sizes,fact:Helper entry process,fact:Helper ID card issued by,fact:Service lift for helpers
y,,"Block D, JM Orchid",sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Tower D,about 80 flats,JM Housing,2014,"2, 3 and 4 BHK, 1,114–2,485 sq ft",Security app (MyGate) approval & visitor pass,JM Orchid AOA,Yes
y,,Brahm Colony,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Colony settlement,about 400 homes,Private / Self-built,2000s,"1, 2 and 3 BHK independent floors / houses",Open entry,None,No
y,,Hindon Vihar,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Colony settlement,about 600 homes,Private / Self-built,2000s,"1, 2 and 3 BHK independent floors / houses",Open entry,None,No
y,,IITL Nimbus the Hyde Park,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,23 towers,"about 2,000 flats",Nimbus,2018,"2, 3 and 4 BHK, 915–2,380 sq ft",Security app (MyGate) approval & guard pass,The Hyde Park AOA,Yes
y,,Mahagun Mezzaria,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,8 towers,about 730 flats,Mahagun,2021,"3 and 4 BHK, 2,500–3,525 sq ft",Security app approval & biometric gate check-in,Mahagun Mezzaria AOA,Yes
y,,Mahagun Moderne,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,18 towers,"about 2,200 flats",Mahagun,2016,"2, 3 and 4 BHK (5 BHK in the Marvella tower)",Security app (MyGate) approval & biometric / RFID gate entry,Mahagun Moderne AOA,Yes
y,,Marvella,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,1 iconic tower (inside Mahagun Moderne),about 90 luxury suites,Mahagun,2016,"5 BHK luxury suites, 4,000–5,000 sq ft",Security app approval & concierge check-in,Mahagun Moderne AOA,Yes
y,,North Eye,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,1 iconic skyscraper tower,"about 2,300 flats",Supertech,2021,"Studio, 2, 3 and 4 BHK, 535–3,350 sq ft",Security app pass & biometric lobby entry,North Eye Estate Management,Yes
y,,Panchsheel Pratishta,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,8 towers,about 570 flats,Panchsheel,2015,"2 and 3 BHK, 1,310–2,050 sq ft",Security app pass & guard entry register,Panchsheel Pratishta AOA,Yes
y,,Princely Estate,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,17 towers,"about 2,000 flats",Amrapali,2015,"1, 2 and 3 BHK, 675–1,315 sq ft",Security app pass & entry register,Amrapali Princely Estate AOA / Court Receiver,Yes
y,,Rainbow Metro Station,sector-76,noida,metro-station,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,N/A (Metro Station),N/A,Noida Metro Rail Corporation (NMRC),2019,N/A,N/A (Public Transit),N/A,N/A
y,,Sunshine Helios,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,6 towers,about 400 flats,Sunshine Housing & Infrastructure,2015,"3, 4 and 5 BHK, 1,575–4,300 sq ft",Security app approval & visitor pass,Sunshine Helios AOA,Yes
y,,Beverly Park 1,dlf-phase-2,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,about 580 flats,DLF,2003,"3 BHK, 2,600–3,000 sq ft",Security app approval & biometric gate entry,DLF Beverly Park 1 Condominium Association,Yes
y,,Beverly Park 2,dlf-phase-2,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,3 towers,about 560 flats,DLF,2004,"3 and 4 BHK, 2,500–3,800 sq ft",Security app approval & biometric gate entry,DLF Beverly Park 2 Condominium Association,Yes
y,,Essel Towers,dlf-phase-2,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,9 blocks,"about 1,100 flats",Suncity Projects,2003,"2 to 5 BHK, 1,100–3,700 sq ft",Security app (MyGate) pass & entry register,Essel Towers Maintenance Office / RWA,Yes
y,,Heritage City,dlf-phase-2,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,18 blocks,about 725 flats,Unitech,2003,"4 BHK, 1,960–3,250 sq ft",Guarded gate pass & resident intercom approval,Heritage City RWA,Yes
y,,M G Road,dlf-phase-2,gurgaon,metro-station,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,N/A (Metro Station),N/A,DMRC,2010,N/A,N/A (Public Transit),N/A,N/A
y,,MGF Villas,dlf-phase-2,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,8 towers,about 300 flats,Emaar MGF,2013,"2 and 3 BHK, 1,000–2,735 sq ft",Security app pass & guard check,MGF Villas Condominium RWA,Yes
y,,Pilot Court,dlf-phase-2,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,3 blocks,about 50 flats,Cooperative Group Housing Society,2000,"3 BHK, 1,600–2,000 sq ft",Gate entry register & resident verification,Pilot Court RWA,No
y,,Sirhaul,dlf-phase-2,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Village settlement,"about 2,500 homes",Private / Self-built,Traditional / 1990s onward,"1, 2 and 3 BHK independent floors / rooms",Open entry,None,No
y,,Belvedere Apartments,dlf-phase-3,gurgaon,society,122010,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,about 500 flats,DLF,2004,"3 and 4 BHK, 1,400–2,100 sq ft",Security app (MyGate) approval & guard entry register,Belvedere Park Condominium Association,Yes
y,,Belvedere Towers,dlf-phase-3,gurgaon,society,122010,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,3 towers,480 flats,DLF,2002,"3 and 4 BHK, 1,400–2,600 sq ft",Security app (MyGate) approval & guard entry register,DLF Belvedere Towers Condominium Association,Yes
